username,display_name,market,telegram_user_id,email,status,created_at,updated_at
testuser,Test User,EN,6770292419,test@example.com,New,2026-01-13T12:00:00.000Z,2026-01-13T12:00:00.000Z
cryptotrader123,Crypto Trader,EN,123456789,trader@example.com,New,2026-01-13T12:00:00.000Z,2026-01-13T12:00:00.000Z
bitcoin_expert,Bitcoin Expert,EN,,expert@example.com,New,2026-01-13T12:00:00.000Z,2026-01-13T12:00:00.000Z
CryptoCobain,Crypto Cobain,EN,123456789,,New,2026-01-13T02:09:43.543Z,2026-01-13T02:09:43.543Z
CryptoDonAlt,DonAlt,EN,234567890,,New,2026-01-13T02:09:43.545Z,2026-01-13T02:09:43.545Z
CryptoCapo_,Il Capo Of Crypto,EN,,capo@cryptotrader.com,New,2026-01-13T02:09:43.545Z,2026-01-13T02:09:43.545Z
Pentosh1,Pentoshi,EN,345678901,,New,2026-01-13T02:09:43.545Z,2026-01-13T02:09:43.545Z
CryptoChase,Crypto Chase,EN,,chase@tradingalerts.net,New,2026-01-13T02:09:43.545Z,2026-01-13T02:09:43.545Z
TheCryptoDog,Crypto Dog,EN,456789012,,New,2026-01-13T02:09:43.545Z,2026-01-13T02:09:43.545Z
CryptoBirb,Crypto Birb,EN,,birb@cryptosignals.com,New,2026-01-13T02:09:43.545Z,2026-01-13T02:09:43.545Z
Trader_XBT,Trader XBT,EN,567890123,,New,2026-01-13T02:09:43.545Z,2026-01-13T02:09:43.545Z
CryptoWizardd,Crypto Wizard,EN,,wizard@defensetrade.io,New,2026-01-13T02:09:43.545Z,2026-01-13T02:09:43.545Z
SmartContracter,Smart Contracter,EN,678901234,,New,2026-01-13T02:09:43.545Z,2026-01-13T02:09:43.545Z
CryptoEd_NL,Crypto Ed,EN,,ed@cryptotraining.com,New,2026-01-13T02:09:43.546Z,2026-01-13T02:09:43.546Z
CryptoMichNL,CryptoMich,EN,789012345,,New,2026-01-13T02:09:43.546Z,2026-01-13T02:09:43.546Z
TraderDivergence,Trader Divergence,EN,,div@trapsignals.net,New,2026-01-13T02:09:43.546Z,2026-01-13T02:09:43.546Z
CryptoTony__,Crypto Tony,EN,890123456,,New,2026-01-13T02:09:43.546Z,2026-01-13T02:09:43.546Z
Kaleo,Kaleo,EN,,kaleo@btcanalysis.com,New,2026-01-13T02:09:43.546Z,2026-01-13T02:09:43.546Z
CryptoCred,Crypto Cred,EN,901234567,,New,2026-01-13T02:09:43.546Z,2026-01-13T02:09:43.546Z
Anbessa100,Anbessa,EN,,anbessa@swingtrade.com,New,2026-01-13T02:09:43.546Z,2026-01-13T02:09:43.546Z
CryptoNTez,Crypto NTez,EN,012345678,,New,2026-01-13T02:09:43.546Z,2026-01-13T02:09:43.546Z
WashTrading,Wash Trader,EN,,wash@trapdefence.net,New,2026-01-13T02:09:43.546Z,2026-01-13T02:09:43.546Z
BTC_Archive,BTC Archive,EN,123450987,,New,2026-01-13T02:09:43.546Z,2026-01-13T02:09:43.546Z
